id,fecha,hora,presion_hpa,variacion_hpa,tendencia
9432,2026-08-01,00:15:00,580.3,-0.2,Descendente
9433,2026-08-01,00:30:00,580.2,-0.1,Descendente
9434,2026-08-01,00:45:00,580.1,-0.1,Descendente
9435,2026-08-01,01:00:00,579.9,-0.2,Descendente
9436,2026-08-01,01:15:00,579.7,-0.2,Descendente
9437,2026-08-01,01:30:00,579.5,-0.2,Descendente
9438,2026-08-01,01:45:00,579.4,-0.1,Descendente
9439,2026-08-01,02:00:00,579.2,-0.2,Descendente
9440,2026-08-01,02:15:00,579.0,-0.2,Descendente
9441,2026-08-01,02:30:00,578.9,-0.1,Descendente
9442,2026-08-01,02:45:00,578.9,0.0,Estable
9443,2026-08-01,03:00:00,578.8,-0.1,Descendente
9444,2026-08-01,03:15:00,578.7,-0.1,Descendente
9445,2026-08-01,03:30:00,578.7,0.0,Estable
9446,2026-08-01,03:45:00,578.5,-0.2,Descendente
9447,2026-08-01,04:00:00,578.4,-0.1,Descendente
9448,2026-08-01,04:15:00,578.4,0.0,Estable
9449,2026-08-01,04:30:00,578.6,0.2,Creciente
9450,2026-08-01,04:45:00,578.6,0.0,Estable
9451,2026-08-01,05:00:00,578.7,0.1,Creciente
9452,2026-08-01,05:15:00,578.7,0.0,Estable
9453,2026-08-01,05:30:00,578.7,0.0,Estable
9454,2026-08-01,05:45:00,578.7,0.0,Estable
9455,2026-08-01,06:00:00,578.9,0.2,Creciente
9456,2026-08-01,06:15:00,578.9,0.0,Estable
9457,2026-08-01,06:30:00,579.1,0.2,Creciente
9458,2026-08-01,06:45:00,579.2,0.1,Creciente
9459,2026-08-01,07:00:00,579.3,0.1,Creciente
9460,2026-08-01,07:15:00,579.4,0.1,Creciente
9461,2026-08-01,07:30:00,579.5,0.1,Creciente
9462,2026-08-01,07:45:00,579.4,-0.1,Descendente
9463,2026-08-01,08:00:00,579.4,0.0,Estable
9464,2026-08-01,08:15:00,579.6,0.2,Creciente
9465,2026-08-01,08:30:00,579.6,0.0,Estable
9466,2026-08-01,08:45:00,579.7,0.1,Creciente
9467,2026-08-01,09:00:00,579.7,0.0,Estable
9468,2026-08-01,09:15:00,579.7,0.0,Estable
9469,2026-08-01,09:30:00,579.7,0.0,Estable
9470,2026-08-01,09:45:00,579.7,0.0,Estable
9471,2026-08-01,10:00:00,579.6,-0.1,Descendente
9472,2026-08-01,10:15:00,579.5,-0.1,Descendente
9473,2026-08-01,10:30:00,579.4,-0.1,Descendente
9474,2026-08-01,10:45:00,579.2,-0.2,Descendente
9475,2026-08-01,11:00:00,579.1,-0.1,Descendente
9476,2026-08-01,11:15:00,579.0,-0.1,Descendente
9477,2026-08-01,11:30:00,578.7,-0.3,Descendente
9478,2026-08-01,11:45:00,578.7,0.0,Estable
9479,2026-08-01,12:00:00,578.5,-0.2,Descendente
9480,2026-08-01,12:15:00,578.4,-0.1,Descendente
9481,2026-08-01,12:30:00,578.3,-0.1,Descendente
9482,2026-08-01,12:45:00,578.3,0.0,Estable
9483,2026-08-01,13:00:00,577.9,-0.4,Descendente
9484,2026-08-01,13:15:00,577.6,-0.3,Descendente
9485,2026-08-01,13:30:00,577.5,-0.1,Descendente
9486,2026-08-01,13:45:00,577.3,-0.2,Descendente
9487,2026-08-01,14:00:00,577.2,-0.1,Descendente
9488,2026-08-01,14:15:00,577.1,-0.1,Descendente
9489,2026-08-01,14:30:00,576.8,-0.3,Descendente
9490,2026-08-01,14:45:00,576.6,-0.2,Descendente
9491,2026-08-01,15:00:00,576.4,-0.2,Descendente
9492,2026-08-01,15:15:00,576.0,-0.4,Descendente
9493,2026-08-01,15:30:00,575.8,-0.2,Descendente
9494,2026-08-01,15:45:00,575.7,-0.1,Descendente
9495,2026-08-01,16:00:00,575.6,-0.1,Descendente
9496,2026-08-01,16:15:00,575.5,-0.1,Descendente
9497,2026-08-01,16:30:00,575.3,-0.2,Descendente
9498,2026-08-01,16:45:00,575.1,-0.2,Descendente
9499,2026-08-01,17:00:00,575.1,0.0,Estable
9500,2026-08-01,17:15:00,575.2,0.1,Creciente
9501,2026-08-01,17:30:00,575.3,0.1,Creciente
9502,2026-08-01,17:45:00,575.3,0.0,Estable
9503,2026-08-01,18:00:00,575.5,0.2,Creciente
9504,2026-08-01,18:15:00,575.7,0.2,Creciente
9505,2026-08-01,18:30:00,576.0,0.3,Creciente
9506,2026-08-01,18:45:00,575.9,-0.1,Descendente
9507,2026-08-01,19:00:00,577.0,1.1,Creciente
9508,2026-08-01,19:15:00,578.4,1.4,Creciente
9509,2026-08-01,19:30:00,578.6,0.2,Creciente
9510,2026-08-01,19:45:00,578.4,-0.2,Descendente
9511,2026-08-01,20:00:00,578.6,0.2,Creciente
9512,2026-08-01,20:15:00,578.8,0.2,Creciente
9513,2026-08-01,20:30:00,578.8,0.0,Estable
9514,2026-08-01,20:45:00,578.9,0.1,Creciente
9515,2026-08-01,21:00:00,578.8,-0.1,Descendente
9516,2026-08-01,21:15:00,579.0,0.2,Creciente
9517,2026-08-01,21:30:00,579.2,0.2,Creciente
9518,2026-08-01,21:45:00,579.0,-0.2,Descendente
9519,2026-08-01,22:00:00,579.1,0.1,Creciente
9520,2026-08-01,22:15:00,579.0,-0.1,Descendente
9521,2026-08-01,22:30:00,578.7,-0.3,Descendente
9522,2026-08-01,22:45:00,578.6,-0.1,Descendente
9523,2026-08-01,23:00:00,578.5,-0.1,Descendente
9524,2026-08-01,23:15:00,578.5,0.0,Estable
9525,2026-08-01,23:30:00,578.4,-0.1,Descendente
9526,2026-08-01,23:45:00,578.3,-0.1,Descendente
9527,2026-08-02,00:15:00,578.1,-0.2,Descendente
9528,2026-08-02,00:30:00,577.9,-0.2,Descendente
9529,2026-08-02,00:45:00,577.6,-0.3,Descendente
9530,2026-08-02,01:00:00,577.7,0.1,Creciente
9531,2026-08-02,01:15:00,577.6,-0.1,Descendente
9532,2026-08-02,01:30:00,577.6,0.0,Estable
9533,2026-08-02,01:45:00,577.7,0.1,Creciente
9534,2026-08-02,02:00:00,577.5,-0.2,Descendente
9535,2026-08-02,02:15:00,577.5,0.0,Estable
9536,2026-08-02,02:30:00,577.6,0.1,Creciente
9537,2026-08-02,02:45:00,577.6,0.0,Estable
9538,2026-08-02,03:00:00,577.4,-0.2,Descendente
9539,2026-08-02,03:15:00,577.5,0.1,Creciente
9540,2026-08-02,03:30:00,577.5,0.0,Estable
9541,2026-08-02,03:45:00,577.5,0.0,Estable
9542,2026-08-02,04:00:00,577.4,-0.1,Descendente
9543,2026-08-02,04:15:00,577.5,0.1,Creciente
9544,2026-08-02,04:30:00,577.4,-0.1,Descendente
9545,2026-08-02,04:45:00,577.5,0.1,Creciente
9546,2026-08-02,05:00:00,577.5,0.0,Estable
9547,2026-08-02,05:15:00,577.5,0.0,Estable
9548,2026-08-02,05:30:00,577.6,0.1,Creciente
9549,2026-08-02,05:45:00,578.0,0.4,Creciente
9550,2026-08-02,06:00:00,577.9,-0.1,Descendente
9551,2026-08-02,06:15:00,578.0,0.1,Creciente
9552,2026-08-02,06:30:00,578.0,0.0,Estable
9553,2026-08-02,06:45:00,578.0,0.0,Estable
9554,2026-08-02,07:00:00,578.1,0.1,Creciente
9555,2026-08-02,07:15:00,578.2,0.1,Creciente
9556,2026-08-02,07:30:00,578.1,-0.1,Descendente
9557,2026-08-02,07:45:00,578.1,0.0,Estable
9558,2026-08-02,08:00:00,578.1,0.0,Estable
9559,2026-08-02,08:15:00,578.0,-0.1,Descendente
9560,2026-08-02,08:30:00,577.7,-0.3,Descendente
9561,2026-08-02,08:45:00,577.6,-0.1,Descendente
9562,2026-08-02,09:00:00,577.6,0.0,Estable
9563,2026-08-02,09:15:00,577.5,-0.1,Descendente
9564,2026-08-02,09:30:00,577.4,-0.1,Descendente
9565,2026-08-02,09:45:00,577.3,-0.1,Descendente
9566,2026-08-02,10:00:00,577.2,-0.1,Descendente
9567,2026-08-02,10:15:00,577.1,-0.1,Descendente
9568,2026-08-02,10:30:00,577.0,-0.1,Descendente
9569,2026-08-02,10:45:00,576.8,-0.2,Descendente
9570,2026-08-02,11:00:00,576.7,-0.1,Descendente
9571,2026-08-02,11:15:00,576.5,-0.2,Descendente
9572,2026-08-02,11:30:00,576.4,-0.1,Descendente
9573,2026-08-02,11:45:00,576.3,-0.1,Descendente
9574,2026-08-02,12:00:00,576.0,-0.3,Descendente
9575,2026-08-02,12:15:00,575.5,-0.5,Descendente
9576,2026-08-02,12:30:00,575.3,-0.2,Descendente
9577,2026-08-02,12:45:00,575.2,-0.1,Descendente
9578,2026-08-02,13:00:00,575.1,-0.1,Descendente
9579,2026-08-02,13:15:00,575.1,0.0,Estable
9580,2026-08-02,13:30:00,575.0,-0.1,Descendente
9581,2026-08-02,13:45:00,574.8,-0.2,Descendente
9582,2026-08-02,14:00:00,574.8,0.0,Estable
9583,2026-08-02,14:15:00,574.6,-0.2,Descendente
9584,2026-08-02,14:30:00,574.7,0.1,Creciente
9585,2026-08-02,14:45:00,574.5,-0.2,Descendente
9586,2026-08-02,15:00:00,574.5,0.0,Estable
9587,2026-08-02,15:15:00,574.3,-0.2,Descendente
9588,2026-08-02,15:30:00,574.4,0.1,Creciente
9589,2026-08-02,15:45:00,574.6,0.2,Creciente
9590,2026-08-02,16:00:00,574.8,0.2,Creciente
9591,2026-08-02,16:15:00,575.0,0.2,Creciente
9592,2026-08-02,16:30:00,575.1,0.1,Creciente
9593,2026-08-02,16:45:00,575.3,0.2,Creciente
9594,2026-08-02,17:00:00,575.5,0.2,Creciente
9595,2026-08-02,17:15:00,575.7,0.2,Creciente
9596,2026-08-02,17:30:00,575.9,0.2,Creciente
9597,2026-08-02,17:45:00,576.2,0.3,Creciente
9598,2026-08-02,18:00:00,576.4,0.2,Creciente
9599,2026-08-02,18:15:00,576.6,0.2,Creciente
9600,2026-08-02,18:30:00,576.8,0.2,Creciente
9601,2026-08-02,18:45:00,576.8,0.0,Estable
9602,2026-08-02,19:00:00,577.1,0.3,Creciente
9603,2026-08-02,19:15:00,577.3,0.2,Creciente
9604,2026-08-02,19:30:00,577.5,0.2,Creciente
9605,2026-08-02,19:45:00,577.6,0.1,Creciente
9606,2026-08-02,20:00:00,577.6,0.0,Estable
9607,2026-08-02,20:15:00,577.9,0.3,Creciente
9608,2026-08-02,20:30:00,577.9,0.0,Estable
9609,2026-08-02,20:45:00,578.0,0.1,Creciente
9610,2026-08-02,21:00:00,578.1,0.1,Creciente
9611,2026-08-02,21:15:00,578.0,-0.1,Descendente
9612,2026-08-02,21:30:00,578.0,0.0,Estable
9613,2026-08-02,21:45:00,577.8,-0.2,Descendente
9614,2026-08-02,22:00:00,577.6,-0.2,Descendente
9615,2026-08-02,22:15:00,577.7,0.1,Creciente
9616,2026-08-02,22:30:00,577.6,-0.1,Descendente
9617,2026-08-02,22:45:00,577.6,0.0,Estable
9618,2026-08-02,23:00:00,577.6,0.0,Estable
9619,2026-08-02,23:15:00,577.4,-0.2,Descendente
9620,2026-08-02,23:30:00,577.4,0.0,Estable
9621,2026-08-02,23:45:00,577.3,-0.1,Descendente
9622,2026-08-03,00:15:00,577.1,-0.2,Descendente
9623,2026-08-03,00:30:00,576.9,-0.2,Descendente
9624,2026-08-03,00:45:00,577.0,0.1,Creciente
9625,2026-08-03,01:00:00,577.0,0.0,Estable
9626,2026-08-03,01:15:00,577.0,0.0,Estable
9627,2026-08-03,01:30:00,577.0,0.0,Estable
9628,2026-08-03,01:45:00,576.9,-0.1,Descendente
9629,2026-08-03,02:00:00,577.0,0.1,Creciente
9630,2026-08-03,02:15:00,576.9,-0.1,Descendente
9631,2026-08-03,02:30:00,577.0,0.1,Creciente
9632,2026-08-03,02:45:00,576.9,-0.1,Descendente
9633,2026-08-03,03:00:00,577.0,0.1,Creciente
9634,2026-08-03,03:15:00,576.9,-0.1,Descendente
9635,2026-08-03,03:30:00,576.9,0.0,Estable
9636,2026-08-03,03:45:00,577.0,0.1,Creciente
9637,2026-08-03,04:00:00,577.1,0.1,Creciente
9638,2026-08-03,04:15:00,577.2,0.1,Creciente
9639,2026-08-03,04:30:00,577.3,0.1,Creciente
9640,2026-08-03,04:45:00,577.5,0.2,Creciente
9641,2026-08-03,05:00:00,577.5,0.0,Estable
9642,2026-08-03,05:15:00,577.7,0.2,Creciente
9643,2026-08-03,05:30:00,577.7,0.0,Estable
9644,2026-08-03,05:45:00,577.8,0.1,Creciente
9645,2026-08-03,06:00:00,577.9,0.1,Creciente
9646,2026-08-03,06:15:00,577.9,0.0,Estable
9647,2026-08-03,06:30:00,578.0,0.1,Creciente
9648,2026-08-03,06:45:00,577.9,-0.1,Descendente
9649,2026-08-03,07:00:00,578.0,0.1,Creciente
9650,2026-08-03,07:15:00,578.0,0.0,Estable
9651,2026-08-03,07:30:00,577.9,-0.1,Descendente
9652,2026-08-03,07:45:00,577.8,-0.1,Descendente
9653,2026-08-03,08:00:00,577.8,0.0,Estable
9654,2026-08-03,08:15:00,577.6,-0.2,Descendente
9655,2026-08-03,08:30:00,577.5,-0.1,Descendente
9656,2026-08-03,08:45:00,577.4,-0.1,Descendente
9657,2026-08-03,09:00:00,577.3,-0.1,Descendente
9658,2026-08-03,09:15:00,577.2,-0.1,Descendente
9659,2026-08-03,09:30:00,577.0,-0.2,Descendente
9660,2026-08-03,09:45:00,576.9,-0.1,Descendente
9661,2026-08-03,10:00:00,576.7,-0.2,Descendente
9662,2026-08-03,10:15:00,576.7,0.0,Estable
9663,2026-08-03,10:30:00,576.6,-0.1,Descendente
9664,2026-08-03,10:45:00,576.5,-0.1,Descendente
9665,2026-08-03,11:00:00,576.2,-0.3,Descendente
9666,2026-08-03,11:15:00,576.0,-0.2,Descendente
9667,2026-08-03,11:30:00,576.0,0.0,Estable
9668,2026-08-03,11:45:00,576.0,0.0,Estable
9669,2026-08-03,12:00:00,575.8,-0.2,Descendente
9670,2026-08-03,12:15:00,575.6,-0.2,Descendente
9671,2026-08-03,12:30:00,575.4,-0.2,Descendente
9672,2026-08-03,12:45:00,575.2,-0.2,Descendente
9673,2026-08-03,13:00:00,575.0,-0.2,Descendente
9674,2026-08-03,13:15:00,574.8,-0.2,Descendente
9675,2026-08-03,13:30:00,574.6,-0.2,Descendente
9676,2026-08-03,13:45:00,574.4,-0.2,Descendente
9677,2026-08-03,14:00:00,574.3,-0.1,Descendente
9678,2026-08-03,14:15:00,574.3,0.0,Estable
9679,2026-08-03,14:30:00,574.1,-0.2,Descendente
9680,2026-08-03,14:45:00,574.3,0.2,Creciente
9681,2026-08-03,15:00:00,574.5,0.2,Creciente
9682,2026-08-03,15:15:00,574.5,0.0,Estable
9683,2026-08-03,15:30:00,574.8,0.3,Creciente
9684,2026-08-03,15:45:00,575.1,0.3,Creciente
9685,2026-08-03,16:00:00,575.1,0.0,Estable
9686,2026-08-03,16:15:00,575.1,0.0,Estable
9687,2026-08-03,16:30:00,575.1,0.0,Estable
9688,2026-08-03,16:45:00,575.5,0.4,Creciente
9689,2026-08-03,17:00:00,575.7,0.2,Creciente
9690,2026-08-03,17:15:00,576.3,0.6,Creciente
9691,2026-08-03,17:30:00,576.6,0.3,Creciente
9692,2026-08-03,17:45:00,576.7,0.1,Creciente
9693,2026-08-03,18:00:00,576.8,0.1,Creciente
9694,2026-08-03,18:15:00,576.9,0.1,Creciente
9695,2026-08-03,18:30:00,577.2,0.3,Creciente
9696,2026-08-03,18:45:00,577.6,0.4,Creciente
9697,2026-08-03,19:00:00,577.7,0.1,Creciente
9698,2026-08-03,19:15:00,578.0,0.3,Creciente
9699,2026-08-03,19:30:00,577.9,-0.1,Descendente
9700,2026-08-03,19:45:00,578.1,0.2,Creciente
9701,2026-08-03,20:00:00,578.1,0.0,Estable
9702,2026-08-03,20:15:00,578.3,0.2,Creciente
9703,2026-08-03,20:30:00,578.4,0.1,Creciente
9704,2026-08-03,20:45:00,578.4,0.0,Estable
9705,2026-08-03,21:00:00,578.3,-0.1,Descendente
9706,2026-08-03,21:15:00,578.2,-0.1,Descendente
9707,2026-08-03,21:30:00,578.2,0.0,Estable
9708,2026-08-03,21:45:00,578.3,0.1,Creciente
9709,2026-08-03,22:00:00,578.2,-0.1,Descendente
9710,2026-08-03,22:15:00,578.2,0.0,Estable
9711,2026-08-03,22:30:00,578.3,0.1,Creciente
9712,2026-08-03,22:45:00,578.1,-0.2,Descendente
9713,2026-08-03,23:00:00,578.1,0.0,Estable
9714,2026-08-03,23:15:00,577.9,-0.2,Descendente
9715,2026-08-03,23:30:00,577.9,0.0,Estable
9716,2026-08-03,23:45:00,577.8,-0.1,Descendente
9717,2026-08-04,00:15:00,577.6,-0.2,Descendente
9718,2026-08-04,00:30:00,577.6,0.0,Estable
9719,2026-08-04,00:45:00,577.5,-0.1,Descendente
9720,2026-08-04,01:00:00,577.4,-0.1,Descendente
9721,2026-08-04,01:15:00,577.3,-0.1,Descendente
9722,2026-08-04,01:30:00,577.3,0.0,Estable
9723,2026-08-04,01:45:00,577.3,0.0,Estable
9724,2026-08-04,02:00:00,577.3,0.0,Estable
9725,2026-08-04,02:15:00,577.3,0.0,Estable
9726,2026-08-04,02:30:00,577.3,0.0,Estable
9727,2026-08-04,02:45:00,577.2,-0.1,Descendente
9728,2026-08-04,03:00:00,577.3,0.1,Creciente
9729,2026-08-04,03:15:00,577.3,0.0,Estable
9730,2026-08-04,03:30:00,577.2,-0.1,Descendente
9731,2026-08-04,03:45:00,577.3,0.1,Creciente
9732,2026-08-04,04:00:00,577.3,0.0,Estable
9733,2026-08-04,04:15:00,577.4,0.1,Creciente
9734,2026-08-04,04:30:00,577.4,0.0,Estable
9735,2026-08-04,04:45:00,577.6,0.2,Creciente
9736,2026-08-04,05:00:00,577.7,0.1,Creciente
9737,2026-08-04,05:15:00,577.9,0.2,Creciente
9738,2026-08-04,05:30:00,578.0,0.1,Creciente
9739,2026-08-04,05:45:00,577.9,-0.1,Descendente
9740,2026-08-04,06:00:00,578.1,0.2,Creciente
9741,2026-08-04,06:15:00,578.1,0.0,Estable
9742,2026-08-04,06:30:00,578.1,0.0,Estable
9743,2026-08-04,06:45:00,578.3,0.2,Creciente
9744,2026-08-04,07:00:00,578.2,-0.1,Descendente
9745,2026-08-04,07:15:00,578.2,0.0,Estable
9746,2026-08-04,07:30:00,578.2,0.0,Estable
9747,2026-08-04,07:45:00,578.3,0.1,Creciente
9748,2026-08-04,08:00:00,578.3,0.0,Estable
9749,2026-08-04,08:15:00,578.3,0.0,Estable
9750,2026-08-04,08:30:00,578.3,0.0,Estable
9751,2026-08-04,08:45:00,578.3,0.0,Estable
9752,2026-08-04,09:00:00,578.3,0.0,Estable
9753,2026-08-04,09:15:00,578.2,-0.1,Descendente
9754,2026-08-04,09:30:00,578.1,-0.1,Descendente
9755,2026-08-04,09:45:00,578.0,-0.1,Descendente
9756,2026-08-04,10:00:00,577.9,-0.1,Descendente
9757,2026-08-04,10:15:00,577.7,-0.2,Descendente
9758,2026-08-04,10:30:00,577.6,-0.1,Descendente
9759,2026-08-04,10:45:00,577.5,-0.1,Descendente
9760,2026-08-04,11:00:00,577.5,0.0,Estable
9761,2026-08-04,11:15:00,577.5,0.0,Estable
9762,2026-08-04,11:30:00,577.2,-0.3,Descendente
9763,2026-08-04,11:45:00,577.1,-0.1,Descendente
9764,2026-08-04,12:00:00,576.9,-0.2,Descendente
9765,2026-08-04,12:15:00,576.7,-0.2,Descendente
9766,2026-08-04,12:30:00,576.2,-0.5,Descendente
9767,2026-08-04,12:45:00,575.9,-0.3,Descendente
9768,2026-08-04,13:00:00,576.1,0.2,Creciente
9769,2026-08-04,13:15:00,575.9,-0.2,Descendente
9770,2026-08-04,13:30:00,575.8,-0.1,Descendente
9771,2026-08-04,13:45:00,575.9,0.1,Creciente
9772,2026-08-04,14:00:00,575.8,-0.1,Descendente
9773,2026-08-04,14:15:00,575.9,0.1,Creciente
9774,2026-08-04,14:30:00,575.9,0.0,Estable
9775,2026-08-04,14:45:00,575.8,-0.1,Descendente
9776,2026-08-04,15:00:00,575.7,-0.1,Descendente
9777,2026-08-04,15:15:00,575.6,-0.1,Descendente
9778,2026-08-04,15:30:00,575.7,0.1,Creciente
9779,2026-08-04,15:45:00,575.8,0.1,Creciente
9780,2026-08-04,16:00:00,575.9,0.1,Creciente
9781,2026-08-04,16:15:00,575.9,0.0,Estable
9782,2026-08-04,16:30:00,576.3,0.4,Creciente
9783,2026-08-04,16:45:00,576.7,0.4,Creciente
9784,2026-08-04,17:00:00,576.6,-0.1,Descendente
9785,2026-08-04,17:15:00,576.7,0.1,Creciente
9786,2026-08-04,17:30:00,576.9,0.2,Creciente
9787,2026-08-04,17:45:00,577.1,0.2,Creciente
9788,2026-08-04,18:00:00,577.1,0.0,Estable
9789,2026-08-04,18:15:00,577.5,0.4,Creciente
9790,2026-08-04,18:30:00,577.4,-0.1,Descendente
9791,2026-08-04,18:45:00,577.7,0.3,Creciente
9792,2026-08-04,19:00:00,577.9,0.2,Creciente
9793,2026-08-04,19:15:00,577.9,0.0,Estable
9794,2026-08-04,19:30:00,578.1,0.2,Creciente
9795,2026-08-04,19:45:00,578.2,0.1,Creciente
9796,2026-08-04,20:00:00,578.2,0.0,Estable
9797,2026-08-04,20:15:00,578.4,0.2,Creciente
9798,2026-08-04,20:30:00,578.4,0.0,Estable
9799,2026-08-04,20:45:00,578.4,0.0,Estable
9800,2026-08-04,21:00:00,578.4,0.0,Estable
9801,2026-08-04,21:15:00,578.4,0.0,Estable
9802,2026-08-04,21:30:00,578.5,0.1,Creciente
9803,2026-08-04,21:45:00,578.6,0.1,Creciente
9804,2026-08-04,22:00:00,578.5,-0.1,Descendente
9805,2026-08-04,22:15:00,578.6,0.1,Creciente
9806,2026-08-04,22:30:00,578.5,-0.1,Descendente
9807,2026-08-04,22:45:00,578.3,-0.2,Descendente
9808,2026-08-04,23:00:00,578.2,-0.1,Descendente
9809,2026-08-04,23:15:00,578.3,0.1,Creciente
9810,2026-08-04,23:30:00,578.2,-0.1,Descendente
9811,2026-08-04,23:45:00,578.1,-0.1,Descendente
9812,2026-08-05,00:15:00,577.7,-0.4,Descendente
9813,2026-08-05,00:30:00,577.8,0.1,Creciente
9814,2026-08-05,00:45:00,577.8,0.0,Estable
9815,2026-08-05,01:00:00,577.9,0.1,Creciente
9816,2026-08-05,01:15:00,578.1,0.2,Creciente
9817,2026-08-05,01:30:00,578.1,0.0,Estable
9818,2026-08-05,01:45:00,578.0,-0.1,Descendente
9819,2026-08-05,02:00:00,578.0,0.0,Estable
9820,2026-08-05,02:15:00,578.1,0.1,Creciente
9821,2026-08-05,02:30:00,578.0,-0.1,Descendente
9822,2026-08-05,02:45:00,578.1,0.1,Creciente
9823,2026-08-05,03:00:00,578.1,0.0,Estable
9824,2026-08-05,03:15:00,578.1,0.0,Estable
9825,2026-08-05,03:30:00,578.0,-0.1,Descendente
9826,2026-08-05,03:45:00,578.1,0.1,Creciente
9827,2026-08-05,04:00:00,578.2,0.1,Creciente
9828,2026-08-05,04:15:00,578.4,0.2,Creciente
9829,2026-08-05,04:30:00,578.5,0.1,Creciente
9830,2026-08-05,04:45:00,578.8,0.3,Creciente
9831,2026-08-05,05:00:00,578.7,-0.1,Descendente
9832,2026-08-05,05:15:00,578.8,0.1,Creciente
9833,2026-08-05,05:30:00,578.8,0.0,Estable
9834,2026-08-05,05:45:00,579.0,0.2,Creciente
9835,2026-08-05,06:00:00,579.0,0.0,Estable
9836,2026-08-05,06:15:00,579.1,0.1,Creciente
9837,2026-08-05,06:30:00,579.1,0.0,Estable
9838,2026-08-05,06:45:00,579.2,0.1,Creciente
9839,2026-08-05,07:00:00,579.2,0.0,Estable
9840,2026-08-05,07:15:00,579.4,0.2,Creciente
9841,2026-08-05,07:30:00,579.4,0.0,Estable
9842,2026-08-05,07:45:00,579.4,0.0,Estable
9843,2026-08-05,08:00:00,579.3,-0.1,Descendente
9844,2026-08-05,08:15:00,579.2,-0.1,Descendente
9845,2026-08-05,08:30:00,579.1,-0.1,Descendente
9846,2026-08-05,08:45:00,579.0,-0.1,Descendente
9847,2026-08-05,09:00:00,579.0,0.0,Estable
9848,2026-08-05,09:15:00,579.0,0.0,Estable
9849,2026-08-05,09:30:00,578.9,-0.1,Descendente
9850,2026-08-05,09:45:00,578.8,-0.1,Descendente
9851,2026-08-05,10:00:00,578.7,-0.1,Descendente
9852,2026-08-05,10:15:00,578.5,-0.2,Descendente
9853,2026-08-05,10:30:00,578.4,-0.1,Descendente
9854,2026-08-05,10:45:00,578.3,-0.1,Descendente
9855,2026-08-05,11:00:00,578.1,-0.2,Descendente
9856,2026-08-05,11:15:00,578.0,-0.1,Descendente
9857,2026-08-05,11:30:00,577.9,-0.1,Descendente
9858,2026-08-05,11:45:00,577.6,-0.3,Descendente
9859,2026-08-05,12:00:00,577.3,-0.3,Descendente
9860,2026-08-05,12:15:00,577.2,-0.1,Descendente
9861,2026-08-05,12:30:00,577.0,-0.2,Descendente
9862,2026-08-05,12:45:00,576.7,-0.3,Descendente
9863,2026-08-05,13:00:00,576.2,-0.5,Descendente
9864,2026-08-05,13:15:00,575.9,-0.3,Descendente
9865,2026-08-05,13:30:00,575.7,-0.2,Descendente
9866,2026-08-05,13:45:00,575.6,-0.1,Descendente
9867,2026-08-05,14:00:00,575.4,-0.2,Descendente
9868,2026-08-05,14:15:00,575.4,0.0,Estable
9869,2026-08-05,14:30:00,575.5,0.1,Creciente
9870,2026-08-05,14:45:00,575.4,-0.1,Descendente
9871,2026-08-05,15:00:00,575.7,0.3,Creciente
9872,2026-08-05,15:15:00,576.1,0.4,Creciente
9873,2026-08-05,15:30:00,576.4,0.3,Creciente
9874,2026-08-05,15:45:00,576.6,0.2,Creciente
9875,2026-08-05,16:00:00,576.7,0.1,Creciente
9876,2026-08-05,16:15:00,576.8,0.1,Creciente
9877,2026-08-05,16:30:00,577.0,0.2,Creciente
9878,2026-08-05,16:45:00,577.2,0.2,Creciente
9879,2026-08-05,17:00:00,577.3,0.1,Creciente
9880,2026-08-05,17:15:00,577.5,0.2,Creciente
9881,2026-08-05,17:30:00,577.5,0.0,Estable
9882,2026-08-05,17:45:00,577.6,0.1,Creciente
9883,2026-08-05,18:00:00,577.7,0.1,Creciente
9884,2026-08-05,18:15:00,577.7,0.0,Estable
9885,2026-08-05,18:30:00,577.9,0.2,Creciente
9886,2026-08-05,18:45:00,578.0,0.1,Creciente
9887,2026-08-05,19:00:00,578.2,0.2,Creciente
9888,2026-08-05,19:15:00,578.3,0.1,Creciente
9889,2026-08-05,19:30:00,578.3,0.0,Estable
9890,2026-08-05,19:45:00,578.5,0.2,Creciente
9891,2026-08-05,20:00:00,578.5,0.0,Estable
9892,2026-08-05,20:15:00,578.5,0.0,Estable
9893,2026-08-05,20:30:00,578.4,-0.1,Descendente
9894,2026-08-05,20:45:00,578.5,0.1,Creciente
9895,2026-08-05,21:00:00,578.6,0.1,Creciente
9896,2026-08-05,21:15:00,578.5,-0.1,Descendente
9897,2026-08-05,21:30:00,578.6,0.1,Creciente
9898,2026-08-05,21:45:00,578.7,0.1,Creciente
9899,2026-08-05,22:00:00,578.8,0.1,Creciente
9900,2026-08-05,22:15:00,578.9,0.1,Creciente
9901,2026-08-05,22:30:00,578.9,0.0,Estable
9902,2026-08-05,22:45:00,578.8,-0.1,Descendente
9903,2026-08-05,23:00:00,578.6,-0.2,Descendente
9904,2026-08-05,23:15:00,578.7,0.1,Creciente
9905,2026-08-05,23:30:00,578.6,-0.1,Descendente
9906,2026-08-05,23:45:00,578.5,-0.1,Descendente
9907,2026-08-06,00:15:00,578.8,0.3,Creciente
9908,2026-08-06,00:30:00,578.9,0.1,Creciente
9909,2026-08-06,00:45:00,578.7,-0.2,Descendente
